030 Amoth Pass,Fresno,CA,United States,72.73,36.7464,-119.6397,false,1,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,4,3
193 Drewry Street,Erie,PA,United States,87.15,42.1087,-79.9535,false,2,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",5,3
0 Hooker Lane,Henderson,NV,United States,116.97,36.0119,-115.0433,true,3,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",4,1
38029 Oak Alley,Topeka,KS,United States,41.54,39.0583,-95.7095,false,4,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",5,3
9528 Mariners Cove Street,Erie,PA,United States,79.50,42.1827,-80.0649,true,5,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,2,2
36412 Warner Alley,Santa Cruz,CA,United States,62.84,36.9959,-122.0578,false,6,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",5,1
0 Rusk Pass,Atlanta,GA,United States,68.42,33.9982,-84.3411,true,7,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",4,1
28 Marcy Crossing,Paterson,NJ,United States,114.71,40.9166,-74.174,true,8,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",2,2
0 Meadow Ridge Hill,Trenton,NJ,United States,33.02,40.251,-74.7627,true,9,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,5,1
1 Sullivan Pass,Long Beach,CA,United States,112.68,33.7866,-118.2987,true,10,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",5,2
27 Loeprich Crossing,Cheyenne,WY,United States,91.46,41.1084,-104.8107,false,11,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,5,2
1 Manitowish Way,South Bend,IN,United States,76.25,41.5968,-86.293,true,12,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1,3
6486 Ludington Hill,Scottsdale,AZ,United States,50.45,33.6968,-111.8892,true,13,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,2,3
4 Oakridge Drive,Des Moines,IA,United States,102.11,41.6727,-93.5722,false,14,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",1,3
885 Dixon Way,Los Angeles,CA,United States,115.35,33.7866,-118.2987,true,15,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",2,1
